technique,clus,clus_params,num_clusters,homogeneity,completeness,v_measure
Doc2Vec,DBSCAN,eps=0.9000000000000001;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.05;min_samples=5,6.0,0.005879382366132561,0.18816650688830247,0.011402486769974813
NEL,DBSCAN,eps=0.05;min_samples=10,5.0,0.005280416469379198,0.19408616355703787,0.01028111907612007
NEL,DBSCAN,eps=0.05;min_samples=15,2.0,0.0013610945834410723,0.16399408144202968,0.002699781903806361
NEL,DBSCAN,eps=0.05;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.05;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.1;min_samples=5,6.0,0.005879382366132561,0.18816650688830247,0.011402486769974813
NEL,DBSCAN,eps=0.1;min_samples=10,5.0,0.005280416469379198,0.19408616355703787,0.01028111907612007
NEL,DBSCAN,eps=0.1;min_samples=15,2.0,0.0013610945834410723,0.16399408144202968,0.002699781903806361
NEL,DBSCAN,eps=0.1;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.1;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.15000000000000002;min_samples=5,7.0,0.006736662748953621,0.1855837117457674,0.013001377321720792
NEL,DBSCAN,eps=0.15000000000000002;min_samples=10,5.0,0.005965024801031851,0.19348616407645877,0.011573255329969587
NEL,DBSCAN,eps=0.15000000000000002;min_samples=15,3.0,0.002983628734492855,0.1664866223920371,0.005862200205352519
NEL,DBSCAN,eps=0.15000000000000002;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.15000000000000002;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.2;min_samples=5,15.0,0.010965101376701904,0.16899184798510747,0.020593955960737674
NEL,DBSCAN,eps=0.2;min_samples=10,5.0,0.00613636667363096,0.19310547897463334,0.011894750541182882
NEL,DBSCAN,eps=0.2;min_samples=15,3.0,0.002983628734492855,0.1664866223920371,0.005862200205352519
NEL,DBSCAN,eps=0.2;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.2;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.25;min_samples=5,18.0,0.013986049340030624,0.17077301889984828,0.02585464292532877
NEL,DBSCAN,eps=0.25;min_samples=10,5.0,0.00613636667363096,0.19310547897463334,0.011894750541182882
NEL,DBSCAN,eps=0.25;min_samples=15,3.0,0.002983628734492855,0.1664866223920371,0.005862200205352519
NEL,DBSCAN,eps=0.25;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.25;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.3;min_samples=5,24.0,0.01772674863585374,0.17015574816086101,0.0321084531877049
NEL,DBSCAN,eps=0.3;min_samples=10,6.0,0.007337893890026241,0.18743560499195,0.014122892370252282
NEL,DBSCAN,eps=0.3;min_samples=15,3.0,0.002983628734492855,0.1664866223920371,0.005862200205352519
NEL,DBSCAN,eps=0.3;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.3;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.35000000000000003;min_samples=5,31.0,0.023415043385151012,0.17333962683780743,0.041257011873454874
NEL,DBSCAN,eps=0.35000000000000003;min_samples=10,6.0,0.008436583513917198,0.1893338161545291,0.016153383465616563
NEL,DBSCAN,eps=0.35000000000000003;min_samples=15,5.0,0.0066314499968177015,0.19470040527909496,0.012826047822377885
NEL,DBSCAN,eps=0.35000000000000003;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.35000000000000003;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.4;min_samples=5,39.0,0.030095378404585985,0.17426029684558386,0.051326488173554834
NEL,DBSCAN,eps=0.4;min_samples=10,7.0,0.009990595750997993,0.18692766697823288,0.01896745105886498
NEL,DBSCAN,eps=0.4;min_samples=15,6.0,0.0088676254068732,0.18992215325460038,0.016944115767607706
NEL,DBSCAN,eps=0.4;min_samples=20,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.4;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.45;min_samples=5,51.0,0.041569180364628554,0.1745873504844669,0.06714997722403347
NEL,DBSCAN,eps=0.45;min_samples=10,10.0,0.014399976907454296,0.1892738834168688,0.026763763853123363
NEL,DBSCAN,eps=0.45;min_samples=15,6.0,0.009644717687419405,0.19127861263046395,0.01836350428338366
NEL,DBSCAN,eps=0.45;min_samples=20,2.0,0.0022996278082533955,0.1768670037956255,0.004540223552230623
NEL,DBSCAN,eps=0.45;min_samples=25,1.0,-3.6883050403978197e-17,1.0,-7.376610080795639e-17
NEL,DBSCAN,eps=0.5;min_samples=5,82.0,0.08039763844641096,0.19148147426523754,0.11324634822896226
NEL,DBSCAN,eps=0.5;min_samples=10,19.0,0.03246384512400811,0.19180352705425124,0.05552907617411616
NEL,DBSCAN,eps=0.5;min_samples=15,9.0,0.01742902995311416,0.18692501221271332,0.031885071636585494
NEL,DBSCAN,eps=0.5;min_samples=20,3.0,0.005568100432495537,0.17683560412976024,0.010796254453258247
NEL,DBSCAN,eps=0.5;min_samples=25,3.0,0.00531169266254097,0.17505386271970624,0.010310530923569436
NEL,DBSCAN,eps=0.55;min_samples=5,93.0,0.10603215166232469,0.2020807280392525,0.13908574301888443
NEL,DBSCAN,eps=0.55;min_samples=10,19.0,0.04470664402003597,0.20878580430321417,0.07364410806840255
NEL,DBSCAN,eps=0.55;min_samples=15,12.0,0.031334749130725065,0.20120432266047264,0.05422475393936807
NEL,DBSCAN,eps=0.55;min_samples=20,6.0,0.01709254334406653,0.19195109934876078,0.031389928373770054
NEL,DBSCAN,eps=0.55;min_samples=25,4.0,0.011732470159963563,0.18871434448012855,0.022091500125313992
NEL,DBSCAN,eps=0.6000000000000001;min_samples=5,114.0,0.16475131738109594,0.2182712719740895,0.18777210850523374
NEL,DBSCAN,eps=0.6000000000000001;min_samples=10,24.0,0.08501905253162977,0.23915515568676454,0.12544332170216993
NEL,DBSCAN,eps=0.6000000000000001;min_samples=15,13.0,0.05911220541566581,0.2370688868764458,0.0946290300319548
NEL,DBSCAN,eps=0.6000000000000001;min_samples=20,6.0,0.03808759242629561,0.23386822154993486,0.06550679960557898
NEL,DBSCAN,eps=0.6000000000000001;min_samples=25,4.0,0.03072717425279294,0.238001842980551,0.05442749857860785
NEL,DBSCAN,eps=0.6500000000000001;min_samples=5,109.0,0.221870115493701,0.2471257187014649,0.233817905201014
NEL,DBSCAN,eps=0.6500000000000001;min_samples=10,36.0,0.14585060781782203,0.25854996757431337,0.186496618534362
NEL,DBSCAN,eps=0.6500000000000001;min_samples=15,21.0,0.11339364524564387,0.26764837737379504,0.1592980477368904
NEL,DBSCAN,eps=0.6500000000000001;min_samples=20,12.0,0.08423770286405657,0.26186772542285625,0.12747061352398348
NEL,DBSCAN,eps=0.6500000000000001;min_samples=25,5.0,0.06454575237133953,0.2830402375709798,0.10511957106449116
NEL,DBSCAN,eps=0.7000000000000001;min_samples=5,111.0,0.29448992023407233,0.28349116040794,0.2888858892158363
NEL,DBSCAN,eps=0.7000000000000001;min_samples=10,30.0,0.20950292665605338,0.3075459598329853,0.24922896209591355
NEL,DBSCAN,eps=0.7000000000000001;min_samples=15,18.0,0.17020033241895358,0.30196943127032416,0.21769838534766234
NEL,DBSCAN,eps=0.7000000000000001;min_samples=20,11.0,0.13776378323076022,0.2981555032293359,0.18845245618516332
NEL,DBSCAN,eps=0.7000000000000001;min_samples=25,10.0,0.13332732693643592,0.3156453328308176,0.1874686467907016
NEL,DBSCAN,eps=0.7500000000000001;min_samples=5,76.0,0.14432637320625763,0.17605283025578156,0.15861870064562103
